trade_date,close,decision,reason,position_state,entry_date,entry_price,structural_stop,position_fraction
2022-04-10,879.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-11,875.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-12,865.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-13,869.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-14,867.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-17,869.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-18,855.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-19,865.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-20,860.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-21,850.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-24,850.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-25,851.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-26,848.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-27,840.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-04-28,835.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-05,827.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-08,825.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-09,820.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-10,805.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-11,793.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-12,749.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-16,744.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-17,737.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-18,795.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-19,776.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-22,780.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-23,782.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-24,768.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
2022-05-25,800.0,WAIT,no qualifying breakout,NO_POSITION,,,,1.0
